fold	feature_set	model	auc	bacc	n_train	n_test	n_pos_train	n_pos_test
1	rna	logreg	1.0000	1.0000	316	79	46	11
2	rna	logreg	1.0000	1.0000	316	79	46	11
3	rna	logreg	1.0000	1.0000	316	79	46	11
4	rna	logreg	1.0000	0.9925	316	79	45	12
5	rna	logreg	1.0000	1.0000	316	79	45	12
1	rna	rf	1.0000	1.0000	316	79	46	11
2	rna	rf	1.0000	1.0000	316	79	46	11
3	rna	rf	1.0000	1.0000	316	79	46	11
4	rna	rf	1.0000	1.0000	316	79	45	12
5	rna	rf	1.0000	1.0000	316	79	45	12
1	meth	logreg	1.0000	1.0000	316	79	46	11
2	meth	logreg	1.0000	1.0000	316	79	46	11
3	meth	logreg	1.0000	1.0000	316	79	46	11
4	meth	logreg	1.0000	1.0000	316	79	45	12
5	meth	logreg	1.0000	1.0000	316	79	45	12
1	meth	rf	1.0000	1.0000	316	79	46	11
2	meth	rf	1.0000	1.0000	316	79	46	11
3	meth	rf	1.0000	1.0000	316	79	46	11
4	meth	rf	1.0000	1.0000	316	79	45	12
5	meth	rf	1.0000	1.0000	316	79	45	12
1	concat	logreg	1.0000	1.0000	316	79	46	11
2	concat	logreg	1.0000	1.0000	316	79	46	11
3	concat	logreg	1.0000	1.0000	316	79	46	11
4	concat	logreg	1.0000	0.9925	316	79	45	12
5	concat	logreg	1.0000	1.0000	316	79	45	12
1	concat	rf	1.0000	1.0000	316	79	46	11
2	concat	rf	1.0000	1.0000	316	79	46	11
3	concat	rf	1.0000	1.0000	316	79	46	11
4	concat	rf	1.0000	1.0000	316	79	45	12
5	concat	rf	1.0000	1.0000	316	79	45	12
