fold	feature_set	model	auc	bacc	n_train	n_test	n_pos_train	n_pos_test
1	rna	logreg	0.9357	0.8840	333	84	102	26
2	rna	logreg	0.9602	0.8992	333	84	102	26
3	rna	logreg	0.9738	0.9141	334	83	103	25
4	rna	logreg	0.9724	0.8969	334	83	103	25
5	rna	logreg	0.9602	0.8600	334	83	102	26
1	rna	rf	0.9566	0.8760	333	84	102	26
2	rna	rf	0.9344	0.7991	333	84	102	26
3	rna	rf	0.9783	0.8828	334	83	103	25
4	rna	rf	0.9924	0.9028	334	83	103	25
5	rna	rf	0.9777	0.9055	334	83	102	26
1	meth	logreg	0.8641	0.7706	333	84	102	26
2	meth	logreg	0.8395	0.6810	333	84	102	26
3	meth	logreg	0.8931	0.7824	334	83	103	25
4	meth	logreg	0.9179	0.8428	334	83	103	25
5	meth	logreg	0.8853	0.7358	334	83	102	26
1	meth	rf	0.8113	0.6280	333	84	102	26
2	meth	rf	0.7324	0.6107	333	84	102	26
3	meth	rf	0.8307	0.6228	334	83	103	25
4	meth	rf	0.8907	0.6828	334	83	103	25
5	meth	rf	0.8242	0.5995	334	83	102	26
1	concat	logreg	0.9436	0.8647	333	84	102	26
2	concat	logreg	0.9688	0.9164	333	84	102	26
3	concat	logreg	0.9717	0.9083	334	83	103	25
4	concat	logreg	0.9786	0.9283	334	83	103	25
5	concat	logreg	0.9501	0.8408	334	83	102	26
1	concat	rf	0.9542	0.8462	333	84	102	26
2	concat	rf	0.9281	0.7905	333	84	102	26
3	concat	rf	0.9731	0.8541	334	83	103	25
4	concat	rf	0.9914	0.8914	334	83	103	25
5	concat	rf	0.9683	0.8671	334	83	102	26
