condition	bin_center	bin_confidence	bin_accuracy	bin_count
A_uncalibrated	0.0500	0.0000	0.0000	0
A_uncalibrated	0.1500	0.1288	0.1228	570
A_uncalibrated	0.2500	0.2525	0.4429	70
A_uncalibrated	0.3500	0.3485	0.6098	41
A_uncalibrated	0.4500	0.4367	0.6667	42
A_uncalibrated	0.5500	0.5565	0.7037	27
A_uncalibrated	0.6500	0.6474	0.8750	32
A_uncalibrated	0.7500	0.7564	0.8261	46
A_uncalibrated	0.8500	0.8310	0.9649	171
A_uncalibrated	0.9500	0.0000	0.0000	0
B_TCGA_T	0.0500	0.0473	0.1228	570
B_TCGA_T	0.1500	0.1491	0.4127	63
B_TCGA_T	0.2500	0.2381	0.5882	34
B_TCGA_T	0.3500	0.3492	0.6757	37
B_TCGA_T	0.4500	0.4450	0.6842	19
B_TCGA_T	0.5500	0.5469	0.5385	13
B_TCGA_T	0.6500	0.6464	0.8333	24
B_TCGA_T	0.7500	0.7453	0.9130	23
B_TCGA_T	0.8500	0.8566	0.8222	45
B_TCGA_T	0.9500	0.9247	0.9649	171
C_METABRIC_oracle_T	0.0500	0.0000	0.0000	0
C_METABRIC_oracle_T	0.1500	0.1157	0.1226	579
C_METABRIC_oracle_T	0.2500	0.2490	0.5303	66
C_METABRIC_oracle_T	0.3500	0.3532	0.5581	43
C_METABRIC_oracle_T	0.4500	0.4396	0.6857	35
C_METABRIC_oracle_T	0.5500	0.5587	0.6923	26
C_METABRIC_oracle_T	0.6500	0.6521	0.8710	31
C_METABRIC_oracle_T	0.7500	0.7576	0.7895	38
C_METABRIC_oracle_T	0.8500	0.8440	0.9669	181
C_METABRIC_oracle_T	0.9500	0.0000	0.0000	0
D2_labelfree_align_TCGA_T	0.0500	0.0437	0.1228	570
D2_labelfree_align_TCGA_T	0.1500	0.1468	0.3898	59
D2_labelfree_align_TCGA_T	0.2500	0.2412	0.6216	37
D2_labelfree_align_TCGA_T	0.3500	0.3601	0.6774	31
D2_labelfree_align_TCGA_T	0.4500	0.4409	0.6500	20
D2_labelfree_align_TCGA_T	0.5500	0.5485	0.5333	15
D2_labelfree_align_TCGA_T	0.6500	0.6557	0.8333	18
D2_labelfree_align_TCGA_T	0.7500	0.7525	0.8519	27
D2_labelfree_align_TCGA_T	0.8500	0.8647	0.8378	37
D2_labelfree_align_TCGA_T	0.9500	0.9424	0.9568	185
D3_prior_odds	0.0500	0.0000	0.0000	0
D3_prior_odds	0.1500	0.1769	0.0776	490
D3_prior_odds	0.2500	0.2401	0.3778	90
D3_prior_odds	0.3500	0.3509	0.4918	61
D3_prior_odds	0.4500	0.4507	0.5897	39
D3_prior_odds	0.5500	0.5409	0.6905	42
D3_prior_odds	0.6500	0.6563	0.6786	28
D3_prior_odds	0.7500	0.7466	0.8684	38
D3_prior_odds	0.8500	0.8733	0.9384	211
D3_prior_odds	0.9500	0.0000	0.0000	0
