rank,pathway_name,n_genes_total,n_genes_in_inputs,mean_abs_ig,sum_signed,signed_mean
1,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,190,0.031376,0.493239,0.002596
2,HALLMARK_ESTROGEN_RESPONSE_LATE,200,193,0.021182,0.345963,0.001793
3,HALLMARK_G2M_CHECKPOINT,200,184,0.012842,0.390912,0.002125
4,HALLMARK_E2F_TARGETS,200,187,0.012657,0.404762,0.002165
5,HALLMARK_MYC_TARGETS_V1,200,187,0.012225,-0.134814,-0.000721
6,HALLMARK_MYC_TARGETS_V2,58,57,0.005579,-0.002072,-0.000036
7,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,196,0.004995,0.132251,0.000675
8,HALLMARK_IL2_STAT5_SIGNALING,199,193,0.004962,0.065631,0.000340
9,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,105,0.004502,0.034522,0.000329
10,HALLMARK_ANDROGEN_RESPONSE,101,97,0.003950,0.049130,0.000506
11,HALLMARK_MTORC1_SIGNALING,200,191,0.003732,0.063969,0.000335
12,HALLMARK_MITOTIC_SPINDLE,199,196,0.003689,0.226844,0.001157
13,HALLMARK_UV_RESPONSE_DN,144,137,0.003573,0.033158,0.000242
14,HALLMARK_UV_RESPONSE_UP,158,152,0.003488,0.138404,0.000911
15,HALLMARK_HYPOXIA,200,190,0.003239,0.075511,0.000397
16,HALLMARK_TGF_BETA_SIGNALING,54,54,0.003238,-0.030990,-0.000574
17,HALLMARK_APOPTOSIS,161,158,0.003106,0.042973,0.000272
18,HALLMARK_P53_PATHWAY,200,190,0.002870,0.115010,0.000605
19,HALLMARK_MYOGENESIS,200,197,0.002670,0.041298,0.000210
20,HALLMARK_XENOBIOTIC_METABOLISM,200,196,0.002646,0.035638,0.000182
21,HALLMARK_GLYCOLYSIS,200,195,0.002362,0.056814,0.000291
22,HALLMARK_KRAS_SIGNALING_DN,200,188,0.002279,0.082895,0.000441
23,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,42,0.002229,-0.012061,-0.000287
24,HALLMARK_DNA_REPAIR,150,139,0.002028,0.050533,0.000364
25,HALLMARK_APICAL_SURFACE,44,43,0.001963,0.000843,0.000020
26,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,194,0.001921,0.028517,0.000147
27,HALLMARK_NOTCH_SIGNALING,32,32,0.001830,0.006974,0.000218
28,HALLMARK_IL6_JAK_STAT3_SIGNALING,87,87,0.001775,0.004860,0.000056
29,HALLMARK_HEDGEHOG_SIGNALING,36,35,0.001730,-0.012342,-0.000353
30,HALLMARK_FATTY_ACID_METABOLISM,158,153,0.001676,0.006933,0.000045
31,HALLMARK_COAGULATION,138,136,0.001616,0.005086,0.000037
32,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,72,0.001577,0.000847,0.000012
33,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,104,0.001388,0.006781,0.000065
34,HALLMARK_INFLAMMATORY_RESPONSE,200,197,0.001367,-0.011656,-0.000059
35,HALLMARK_SPERMATOGENESIS,135,131,0.001292,0.069196,0.000528
36,HALLMARK_ADIPOGENESIS,200,189,0.001082,0.029270,0.000155
37,HALLMARK_KRAS_SIGNALING_UP,200,193,0.000991,0.002048,0.000011
38,HALLMARK_PROTEIN_SECRETION,96,95,0.000989,-0.013941,-0.000147
39,HALLMARK_COMPLEMENT,200,195,0.000820,0.000683,0.000004
40,HALLMARK_ALLOGRAFT_REJECTION,200,195,0.000704,-0.012656,-0.000065
41,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,182,0.000676,-0.000830,-0.000005
42,HALLMARK_PEROXISOME,104,101,0.000666,-0.005537,-0.000055
43,HALLMARK_BILE_ACID_METABOLISM,112,112,0.000658,-0.009597,-0.000086
44,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,92,0.000610,0.010292,0.000112
45,HALLMARK_HEME_METABOLISM,200,190,0.000582,0.018050,0.000095
46,HALLMARK_APICAL_JUNCTION,200,192,0.000442,0.007451,0.000039
47,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,194,0.000406,-0.009993,-0.000052
48,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,45,0.000268,0.000363,0.000008
49,HALLMARK_ANGIOGENESIS,36,36,0.000000,0.000000,0.000000
50,HALLMARK_PANCREAS_BETA_CELLS,40,40,0.000000,0.000000,0.000000
