rank,pathway_name,n_genes_total,n_genes_in_inputs,mean_abs_ig,sum_signed,signed_mean
1,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,190,0.006813,-0.103258,-0.000543
2,HALLMARK_ESTROGEN_RESPONSE_LATE,200,193,0.004552,-0.059596,-0.000309
3,HALLMARK_IL2_STAT5_SIGNALING,199,193,0.001012,-0.015834,-0.000082
4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,196,0.000992,-0.028844,-0.000147
5,HALLMARK_ANDROGEN_RESPONSE,101,97,0.000759,-0.006933,-0.000071
6,HALLMARK_HYPOXIA,200,190,0.000644,-0.017642,-0.000093
7,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,105,0.000628,-0.009951,-0.000095
8,HALLMARK_UV_RESPONSE_UP,158,152,0.000588,-0.021042,-0.000138
9,HALLMARK_UV_RESPONSE_DN,144,137,0.000586,-0.011540,-0.000084
10,HALLMARK_P53_PATHWAY,200,190,0.000548,-0.023745,-0.000125
11,HALLMARK_XENOBIOTIC_METABOLISM,200,196,0.000537,-0.006786,-0.000035
12,HALLMARK_MYOGENESIS,200,197,0.000501,-0.010622,-0.000054
13,HALLMARK_APOPTOSIS,161,158,0.000496,-0.006426,-0.000041
14,HALLMARK_KRAS_SIGNALING_DN,200,188,0.000491,-0.021915,-0.000117
15,HALLMARK_TGF_BETA_SIGNALING,54,54,0.000430,0.004170,0.000077
16,HALLMARK_COAGULATION,138,136,0.000375,0.000074,0.000001
17,HALLMARK_GLYCOLYSIS,200,195,0.000368,-0.006372,-0.000033
18,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,194,0.000367,-0.004598,-0.000024
19,HALLMARK_MTORC1_SIGNALING,200,191,0.000365,-0.007246,-0.000038
20,HALLMARK_HEDGEHOG_SIGNALING,36,35,0.000300,0.001572,0.000045
21,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,72,0.000295,0.000828,0.000011
22,HALLMARK_IL6_JAK_STAT3_SIGNALING,87,87,0.000278,-0.001219,-0.000014
23,HALLMARK_FATTY_ACID_METABOLISM,158,153,0.000266,-0.000030,-0.000000
24,HALLMARK_MYC_TARGETS_V2,58,57,0.000244,-0.000307,-0.000005
25,HALLMARK_KRAS_SIGNALING_UP,200,193,0.000244,-0.000437,-0.000002
26,HALLMARK_INFLAMMATORY_RESPONSE,200,197,0.000229,0.000759,0.000004
27,HALLMARK_MITOTIC_SPINDLE,199,196,0.000207,-0.005992,-0.000031
28,HALLMARK_COMPLEMENT,200,195,0.000187,-0.000311,-0.000002
29,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,42,0.000187,0.000095,0.000002
30,HALLMARK_G2M_CHECKPOINT,200,184,0.000161,-0.006156,-0.000033
31,HALLMARK_BILE_ACID_METABOLISM,112,112,0.000153,0.001250,0.000011
32,HALLMARK_APICAL_SURFACE,44,43,0.000148,-0.000108,-0.000003
33,HALLMARK_NOTCH_SIGNALING,32,32,0.000147,-0.000516,-0.000016
34,HALLMARK_ADIPOGENESIS,200,189,0.000144,-0.003667,-0.000019
35,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,92,0.000127,-0.001401,-0.000015
36,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,104,0.000112,-0.000970,-0.000009
37,HALLMARK_PROTEIN_SECRETION,96,95,0.000096,0.000898,0.000009
38,HALLMARK_APICAL_JUNCTION,200,192,0.000084,-0.001556,-0.000008
39,HALLMARK_HEME_METABOLISM,200,190,0.000073,-0.003713,-0.000020
40,HALLMARK_PEROXISOME,104,101,0.000070,0.001063,0.000011
41,HALLMARK_MYC_TARGETS_V1,200,187,0.000042,0.000095,0.000001
42,HALLMARK_E2F_TARGETS,200,187,0.000042,0.000095,0.000001
43,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,194,0.000018,0.000885,0.000005
44,HALLMARK_ALLOGRAFT_REJECTION,200,195,0.000018,0.000885,0.000005
45,HALLMARK_ANGIOGENESIS,36,36,0.000000,0.000000,0.000000
46,HALLMARK_DNA_REPAIR,150,139,0.000000,0.000000,0.000000
47,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,182,0.000000,0.000000,0.000000
48,HALLMARK_PANCREAS_BETA_CELLS,40,40,0.000000,0.000000,0.000000
49,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,45,0.000000,0.000000,0.000000
50,HALLMARK_SPERMATOGENESIS,135,131,0.000000,0.000000,0.000000
