rank,pathway_name,n_genes_total,n_genes_in_inputs,mean_abs_ig,sum_signed,signed_mean
1,HALLMARK_E2F_TARGETS,200,187,0.003554,0.089573,0.000479
2,HALLMARK_G2M_CHECKPOINT,200,184,0.003467,0.077712,0.000422
3,HALLMARK_MYC_TARGETS_V1,200,187,0.003403,-0.027499,-0.000147
4,HALLMARK_MYC_TARGETS_V2,58,57,0.001339,0.001662,0.000029
5,HALLMARK_MITOTIC_SPINDLE,199,196,0.000811,0.042823,0.000218
6,HALLMARK_MTORC1_SIGNALING,200,191,0.000577,0.008394,0.000044
7,HALLMARK_DNA_REPAIR,150,139,0.000561,0.011834,0.000085
8,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,105,0.000501,-0.000204,-0.000002
9,HALLMARK_NOTCH_SIGNALING,32,32,0.000429,-0.000386,-0.000012
10,HALLMARK_SPERMATOGENESIS,135,131,0.000363,0.013837,0.000106
11,HALLMARK_APICAL_SURFACE,44,43,0.000303,0.000328,0.000008
12,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,42,0.000289,-0.001956,-0.000047
13,HALLMARK_TGF_BETA_SIGNALING,54,54,0.000271,-0.000712,-0.000013
14,HALLMARK_UV_RESPONSE_DN,144,137,0.000226,-0.004862,-0.000035
15,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,104,0.000225,0.000003,0.000000
16,HALLMARK_GLYCOLYSIS,200,195,0.000207,0.005506,0.000028
17,HALLMARK_APOPTOSIS,161,158,0.000197,0.001937,0.000012
18,HALLMARK_UV_RESPONSE_UP,158,152,0.000188,0.004718,0.000031
19,HALLMARK_PROTEIN_SECRETION,96,95,0.000181,-0.000652,-0.000007
20,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,182,0.000181,0.000106,0.000001
21,HALLMARK_ALLOGRAFT_REJECTION,200,195,0.000173,-0.001931,-0.000010
22,HALLMARK_HEDGEHOG_SIGNALING,36,35,0.000170,-0.000365,-0.000010
23,HALLMARK_P53_PATHWAY,200,190,0.000165,0.001411,0.000007
24,HALLMARK_ESTROGEN_RESPONSE_LATE,200,193,0.000149,0.005218,0.000027
25,HALLMARK_MYOGENESIS,200,197,0.000129,0.001154,0.000006
26,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,196,0.000125,-0.003699,-0.000019
27,HALLMARK_FATTY_ACID_METABOLISM,158,153,0.000119,0.001145,0.000007
28,HALLMARK_IL2_STAT5_SIGNALING,199,193,0.000111,0.000006,0.000000
29,HALLMARK_PEROXISOME,104,101,0.000109,-0.001778,-0.000018
30,HALLMARK_ADIPOGENESIS,200,189,0.000099,0.001816,0.000010
31,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,194,0.000097,0.002226,0.000011
32,HALLMARK_HYPOXIA,200,190,0.000093,-0.001094,-0.000006
33,HALLMARK_IL6_JAK_STAT3_SIGNALING,87,87,0.000091,0.000570,0.000007
34,HALLMARK_XENOBIOTIC_METABOLISM,200,196,0.000091,0.000841,0.000004
35,HALLMARK_HEME_METABOLISM,200,190,0.000090,0.000489,0.000003
36,HALLMARK_ANDROGEN_RESPONSE,101,97,0.000079,-0.000429,-0.000004
37,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,45,0.000077,-0.000506,-0.000011
38,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,72,0.000076,-0.000118,-0.000002
39,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,194,0.000069,-0.001235,-0.000006
40,HALLMARK_INFLAMMATORY_RESPONSE,200,197,0.000067,-0.002737,-0.000014
41,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,190,0.000047,-0.001791,-0.000009
42,HALLMARK_KRAS_SIGNALING_DN,200,188,0.000046,-0.003097,-0.000016
43,HALLMARK_APICAL_JUNCTION,200,192,0.000019,-0.000035,-0.000000
44,HALLMARK_ANGIOGENESIS,36,36,0.000000,0.000000,0.000000
45,HALLMARK_BILE_ACID_METABOLISM,112,112,0.000000,0.000000,0.000000
46,HALLMARK_COAGULATION,138,136,0.000000,0.000000,0.000000
47,HALLMARK_COMPLEMENT,200,195,0.000000,0.000000,0.000000
48,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,92,0.000000,0.000000,0.000000
49,HALLMARK_KRAS_SIGNALING_UP,200,193,0.000000,0.000000,0.000000
50,HALLMARK_PANCREAS_BETA_CELLS,40,40,0.000000,0.000000,0.000000
