sample_id	y_true	target	modality	rank	feature	attribution	input_value	target_score
TCGA-A2-A0YG-01	1	final_logit	rna	1	BCL2	0.3423561751842499	-2.190101385116577	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	rna	2	FHL2	0.24692343175411224	-1.7057124376296997	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	rna	3	BCAS3	-0.23193654417991638	2.7011168003082275	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	rna	4	CD44	0.22588099539279938	-2.2868590354919434	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	rna	5	KRT15	-0.2198822796344757	1.0992790460586548	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	rna	6	S100A1	0.204645574092865	-1.6815282106399536	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	rna	7	BAG1	0.1871473640203476	-1.8791015148162842	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	rna	8	DLC1	0.1789262741804123	-1.415212869644165	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	rna	9	KRT19	0.17317742109298706	-3.9329428672790527	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	rna	10	FOS	0.14114871621131897	-1.5514487028121948	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	meth	1	cg10566121	0.1306999772787094	2.0812606811523438	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	meth	2	cg14042099	0.10815241932868958	1.2473355531692505	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	meth	3	cg15732851	-0.10108895599842072	1.4426521062850952	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	meth	4	cg00517532	0.09961218386888504	2.396083354949951	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	meth	5	cg03345116	-0.09715762734413147	1.0745439529418945	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	meth	6	cg00799539	-0.09309355169534683	1.9072843790054321	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	meth	7	cg00803088	0.08154790848493576	1.643420696258545	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	meth	8	cg20393620	0.07157044857740402	1.1455436944961548	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	meth	9	cg25744613	0.0672714114189148	1.1767476797103882	1.6467125415802002
TCGA-A2-A0YG-01	1	final_logit	meth	10	cg13570656	0.06668267399072647	1.4566962718963623	1.6467125415802002
TCGA-A2-A0YI-01	0	final_logit	rna	1	RASGRP1	-0.005076996050775051	2.5590639114379883	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	rna	2	KRT19	0.003581200260668993	-3.0805656909942627	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	rna	3	SLC7A5	0.003376862732693553	0.8769104480743408	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	rna	4	CALCR	-0.003033602377399802	1.7299315929412842	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	rna	5	ASCL1	0.0024093787651509047	-0.7268530130386353	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	rna	6	GFRA1	0.002179637085646391	0.9253420233726501	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	rna	7	PDZK1	0.0020487504079937935	1.9176474809646606	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	rna	8	ESR1	0.001877032220363617	0.7880135774612427	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	rna	9	CISH	-0.0018708596471697092	1.6125966310501099	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	rna	10	MLPH	0.0018393694190308452	0.8633546233177185	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	meth	1	cg01252526	-0.009702532552182674	-0.8652739524841309	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	meth	2	cg16236270	-0.008161860518157482	0.9800777435302734	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	meth	3	cg15318546	0.0077306125313043594	1.3418798446655273	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	meth	4	cg08169949	-0.0073181623592972755	-0.9469338059425354	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	meth	5	cg10716835	0.0072185080498456955	-1.3379815816879272	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	meth	6	cg12961607	0.007162038702517748	0.9315077066421509	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	meth	7	cg03287339	-0.006769669242203236	-0.9701000452041626	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	meth	8	cg23057597	-0.005231677554547787	-0.6400387287139893	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	meth	9	cg00651400	-0.005121381487697363	0.8948010206222534	-2.0554299354553223
TCGA-A2-A0YI-01	0	final_logit	meth	10	cg19757631	0.004973898641765118	1.375205397605896	-2.0554299354553223
TCGA-A7-A0D9-01	0	final_logit	rna	1	BCL2	0.011632989160716534	1.1398776769638062	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	rna	2	MPPED2	0.01114532072097063	1.7536845207214355	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	rna	3	FHL2	-0.00953002367168665	-1.4506915807724	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	rna	4	KRT13	0.00915952492505312	3.37018084526062	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	rna	5	EZR	0.008952273987233639	2.5955841541290283	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	rna	6	FOS	-0.008511352352797985	-1.5941754579544067	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	rna	7	BATF	-0.008474675938487053	-1.2435166835784912	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	rna	8	FOXC1	0.008449370041489601	1.1599013805389404	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	rna	9	SLC7A5	0.008433366194367409	1.4723502397537231	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	rna	10	PRSS23	-0.00818924605846405	2.1056509017944336	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	meth	1	cg16650717	-0.021795110777020454	2.5843687057495117	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	meth	2	cg24039697	0.020382504910230637	2.605196952819824	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	meth	3	cg26089753	0.018903357908129692	1.5256987810134888	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	meth	4	cg01984743	0.018692947924137115	1.5112017393112183	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	meth	5	cg00773370	0.017597787082195282	1.6162725687026978	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	meth	6	cg03672342	-0.013782430440187454	2.493379831314087	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	meth	7	cg24724428	-0.011899038217961788	-0.9483545422554016	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	meth	8	cg14058239	0.011731771752238274	-0.9562208652496338	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	meth	9	cg13570656	-0.011595466174185276	1.3489981889724731	-2.0713603496551514
TCGA-A7-A0D9-01	0	final_logit	meth	10	cg06665913	-0.011183013208210468	-2.515401840209961	-2.0713603496551514
TCGA-A7-A2KD-01	1	final_logit	rna	1	BCL2	-0.6418617367744446	1.079318881034851	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	rna	2	EGR3	-0.5862299799919128	1.2168644666671753	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	rna	3	STC2	0.5859894752502441	-1.6280566453933716	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	rna	4	SLC7A5	0.5790418982505798	1.5220950841903687	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	rna	5	TUBB2B	0.5128435492515564	-0.8617281317710876	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	rna	6	CLU	0.5055942535400391	-1.4862794876098633	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	rna	7	ZBTB16	0.47444552183151245	-1.1047080755233765	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	rna	8	CELSR1	-0.4340175688266754	2.0151586532592773	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	rna	9	FOS	0.40977942943573	-1.2046645879745483	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	rna	10	NRIP1	-0.3950107991695404	1.6736528873443604	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	meth	1	cg25744613	-0.45468083024024963	-1.561773419380188	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	meth	2	cg03345116	0.42971643805503845	-1.2438974380493164	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	meth	3	cg00651400	0.3096342384815216	-1.328528881072998	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	meth	4	cg13570656	-0.2922387719154358	-1.7399262189865112	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	meth	5	cg10342963	-0.24210190773010254	-0.8159209489822388	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	meth	6	cg05226008	0.2331155389547348	-1.1904386281967163	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	meth	7	cg01984743	0.21085812151432037	1.1619081497192383	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	meth	8	cg22932313	-0.2042437493801117	-1.3373318910598755	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	meth	9	cg14042099	0.18826055526733398	0.7578139305114746	0.9345261454582214
TCGA-A7-A2KD-01	1	final_logit	meth	10	cg26089753	0.18699568510055542	-0.7501629590988159	0.9345261454582214
TCGA-A7-A3J1-01	0	final_logit	rna	1	SGK3	-0.010095986537635326	2.53031849861145	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	rna	2	TSPAN1	-0.00912783294916153	-1.0674524307250977	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	rna	3	CALCR	-0.008813055232167244	1.6760406494140625	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	rna	4	EGR3	0.008243119344115257	1.7544206380844116	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	rna	5	MLPH	0.008176201023161411	1.1482882499694824	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	rna	6	RAB31	0.007281366735696793	-1.2678990364074707	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	rna	7	HR	-0.00717368395999074	1.4918959140777588	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	rna	8	WFDC2	0.0063225687481462955	1.250508189201355	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	rna	9	FOS	0.005872155539691448	0.9107491374015808	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	rna	10	ZBTB16	0.00540989451110363	1.7952566146850586	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	meth	1	cg23057597	0.021459052339196205	1.5165724754333496	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	meth	2	cg00773370	0.011124499142169952	0.6443174481391907	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	meth	3	cg10304922	-0.010825010016560555	-1.045971393585205	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	meth	4	cg27449507	-0.009207929484546185	1.472241759300232	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	meth	5	cg06741896	0.008914394304156303	1.7657986879348755	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	meth	6	cg22932313	0.00834430567920208	-1.1433632373809814	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	meth	7	cg01473816	0.007342575117945671	-0.9350506663322449	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	meth	8	cg24676071	0.006420611869543791	0.7373542785644531	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	meth	9	cg22731981	-0.006279668305069208	-0.9579067230224609	-2.0297417640686035
TCGA-A7-A3J1-01	0	final_logit	meth	10	cg20393620	0.006193611770868301	-0.7947064638137817	-2.0297417640686035
TCGA-AC-A23E-01	0	final_logit	rna	1	FKBP4	0.005298766773194075	0.982994556427002	-2.063408374786377
TCGA-AC-A23E-01	0	final_logit	rna	2	DHRS2	-0.005206191912293434	-1.2297189235687256	-2.063408374786377
TCGA-AC-A23E-01	0	final_logit	rna	3	ELF5	-0.00473365094512701	-1.7046927213668823	-2.063408374786377
TCGA-AC-A23E-01	0	final_logit	rna	4	RASGRP1	0.004449422005563974	-1.5055527687072754	-2.063408374786377
TCGA-AC-A23E-01	0	final_logit	rna	5	TFF1	-0.004194508772343397	0.9751788973808289	-2.063408374786377
TCGA-AC-A23E-01	0	final_logit	rna	6	CKB	-0.00389349483884871	-0.9708651304244995	-2.063408374786377
TCGA-AC-A23E-01	0	final_logit	rna	7	PGR	-0.003871553810313344	0.8213035464286804	-2.063408374786377
TCGA-AC-A23E-01	0	final_logit	rna	8	PSAT1	-0.003775534452870488	1.7289135456085205	-2.063408374786377
TCGA-AC-A23E-01	0	final_logit	rna	9	AMFR	0.0036021375562995672	-0.8996541500091553	-2.063408374786377
TCGA-AC-A23E-01	0	final_logit	rna	10	MED13L	0.003560983343049884	-0.7523510456085205	-2.063408374786377
TCGA-AC-A23E-01	0	final_logit	meth	1	cg17642369	0.01625080779194832	-1.5038797855377197	-2.063408374786377
TCGA-AC-A23E-01	0	final_logit	meth	2	cg26089753	0.010669317096471786	1.3402421474456787	-2.063408374786377
TCGA-AC-A23E-01	0	final_logit	meth	3	cg03287339	0.00938540231436491	1.1314975023269653	-2.063408374786377
