sample_id	y_true	target	modality	rank	feature	attribution	input_value	target_score
MB-0362	0	final_logit	rna	1	KRT13	0.023265672847628593	3.4431002140045166	-1.9076062440872192
MB-0362	0	final_logit	rna	2	FAM134B	0.020713692530989647	-3.76981258392334	-1.9076062440872192
MB-0362	0	final_logit	rna	3	SLC7A5	0.020514726638793945	0.7749503254890442	-1.9076062440872192
MB-0362	0	final_logit	rna	4	CUL4A	-0.018332626670598984	-3.007077932357788	-1.9076062440872192
MB-0362	0	final_logit	rna	5	NBL1	0.015234017744660378	-4.977511405944824	-1.9076062440872192
MB-0362	0	final_logit	rna	6	TRA2B	-0.014823458157479763	-2.010483741760254	-1.9076062440872192
MB-0362	0	final_logit	rna	7	AKAP1	-0.014722772873938084	-1.4450401067733765	-1.9076062440872192
MB-0362	0	final_logit	rna	8	E2F8	0.013784247450530529	2.5606040954589844	-1.9076062440872192
MB-0362	0	final_logit	rna	9	BCL2	0.013767112046480179	-1.751965045928955	-1.9076062440872192
MB-0362	0	final_logit	rna	10	DBF4	-0.01338917575776577	1.998403787612915	-1.9076062440872192
MB-0362	0	final_logit	meth	1	cg06665913	0.02072783373296261	-3.0335254669189453	-1.9076062440872192
MB-0362	0	final_logit	meth	2	cg01321962	0.017974555492401123	-2.3132705688476562	-1.9076062440872192
MB-0362	0	final_logit	meth	3	cg20402783	0.017765384167432785	-2.0603036880493164	-1.9076062440872192
MB-0362	0	final_logit	meth	4	cg17538572	-0.017583994194865227	-2.3391120433807373	-1.9076062440872192
MB-0362	0	final_logit	meth	5	cg12903574	0.01744622178375721	-2.4397683143615723	-1.9076062440872192
MB-0362	0	final_logit	meth	6	cg06719445	-0.01715877465903759	-2.7256600856781006	-1.9076062440872192
MB-0362	0	final_logit	meth	7	cg00651400	0.016942718997597694	-1.7999558448791504	-1.9076062440872192
MB-0362	0	final_logit	meth	8	cg26708220	-0.01597285456955433	-2.3112874031066895	-1.9076062440872192
MB-0362	0	final_logit	meth	9	cg14660676	0.014957636594772339	-2.292222261428833	-1.9076062440872192
MB-0362	0	final_logit	meth	10	cg02852791	-0.01493700873106718	-2.7205967903137207	-1.9076062440872192
MB-0386	0	final_logit	rna	1	CKS1B	0.015810471028089523	2.867347240447998	-1.9938241243362427
MB-0386	0	final_logit	rna	2	TSPAN1	-0.015147151425480843	-2.9166743755340576	-1.9938241243362427
MB-0386	0	final_logit	rna	3	DHRS2	-0.012112013064324856	-1.661253571510315	-1.9938241243362427
MB-0386	0	final_logit	rna	4	RPL14	-0.008920042775571346	-2.366509437561035	-1.9938241243362427
MB-0386	0	final_logit	rna	5	TRA2B	-0.00876520574092865	-2.3474245071411133	-1.9938241243362427
MB-0386	0	final_logit	rna	6	TCF19	-0.008677209727466106	-2.117844581604004	-1.9938241243362427
MB-0386	0	final_logit	rna	7	FOS	0.008053556084632874	1.6223795413970947	-1.9938241243362427
