target	modality	rank	feature	mean_abs_attr
final_logit	rna	1	FOXC1	0.21724285185337067
final_logit	rna	2	TUBB2B	0.152629092335701
final_logit	rna	3	PDLIM3	0.14234258234500885
final_logit	rna	4	BCL2	0.14232651889324188
final_logit	rna	5	EGR3	0.12420593202114105
final_logit	rna	6	KRT15	0.11696230620145798
final_logit	rna	7	KCNK5	0.1166868582367897
final_logit	rna	8	FHL2	0.10908377915620804
final_logit	rna	9	RAB17	0.10695973038673401
final_logit	rna	10	S100A1	0.10119400918483734
final_logit	rna	11	DUSP4	0.10074004530906677
final_logit	rna	12	KCNK15	0.09919875115156174
final_logit	rna	13	AHNAK	0.09889038652181625
final_logit	rna	14	RBBP8	0.09618750959634781
final_logit	rna	15	FOS	0.09420546889305115
final_logit	rna	16	THSD4	0.09206074476242065
final_logit	rna	17	RAB31	0.08639752119779587
final_logit	rna	18	SLC26A2	0.08192090690135956
final_logit	rna	19	ZBTB16	0.07823481410741806
final_logit	rna	20	DLC1	0.07779444009065628
final_logit	rna	21	SGK1	0.0763576403260231
final_logit	rna	22	CYP26B1	0.07175099104642868
final_logit	rna	23	P2RY2	0.07148334383964539
final_logit	rna	24	AKAP1	0.07118827849626541
final_logit	rna	25	TMPRSS3	0.06999272108078003
final_logit	rna	26	MSMB	0.06997554004192352
final_logit	rna	27	CDC14B	0.06939129531383514
final_logit	rna	28	TSPAN1	0.06860484182834625
final_logit	rna	29	SLC7A5	0.06795337796211243
final_logit	rna	30	CD44	0.0659635066986084
final_logit	rna	31	FARP1	0.06501966714859009
final_logit	rna	32	STC2	0.06493449956178665
final_logit	rna	33	BHLHE40	0.06385236978530884
final_logit	rna	34	PSAT1	0.06307552754878998
final_logit	rna	35	WFDC2	0.06283523142337799
final_logit	rna	36	PODXL	0.061435945332050323
final_logit	rna	37	ACOX2	0.061009667813777924
final_logit	rna	38	SLC1A1	0.06086352467536926
final_logit	rna	39	BAG1	0.05904655158519745
final_logit	rna	40	HSPB8	0.058580800890922546
final_logit	rna	41	SLC1A4	0.05749548599123955
final_logit	rna	42	EFNA5	0.05667809024453163
final_logit	rna	43	TIAM1	0.05485839396715164
final_logit	rna	44	AREG	0.05404013767838478
final_logit	rna	45	BCAS3	0.05295022204518318
final_logit	rna	46	KLF4	0.052114300429821014
final_logit	rna	47	ELF1	0.051871158182621
final_logit	rna	48	SLC39A6	0.05159018188714981
final_logit	rna	49	MYC	0.05146598815917969
final_logit	rna	50	FKBP4	0.05055198818445206
final_logit	meth	1	cg14042099	0.10862530767917633
final_logit	meth	2	cg26089753	0.08002304285764694
final_logit	meth	3	cg03345116	0.078404501080513
final_logit	meth	4	cg10342963	0.07230788469314575
final_logit	meth	5	cg15543523	0.07134074717760086
final_logit	meth	6	cg00773370	0.06954969465732574
final_logit	meth	7	cg25744613	0.0686124637722969
final_logit	meth	8	cg01738022	0.06214718520641327
final_logit	meth	9	cg05116002	0.05646372586488724
final_logit	meth	10	cg17538572	0.05584603175520897
final_logit	meth	11	cg00651400	0.055273089557886124
final_logit	meth	12	cg24724428	0.05505915358662605
final_logit	meth	13	cg10566121	0.053408391773700714
final_logit	meth	14	cg15732851	0.053045738488435745
final_logit	meth	15	cg14660676	0.05250486359000206
final_logit	meth	16	cg27449507	0.050268013030290604
final_logit	meth	17	cg01207684	0.0487014502286911
final_logit	meth	18	cg09662034	0.04857831448316574
final_logit	meth	19	cg24676071	0.04847923293709755
final_logit	meth	20	cg20087413	0.04781854897737503
final_logit	meth	21	cg13456086	0.04676923155784607
final_logit	meth	22	cg10805850	0.04560503363609314
final_logit	meth	23	cg13570656	0.04386800527572632
final_logit	meth	24	cg00799539	0.04353542625904083
final_logit	meth	25	cg00803088	0.04307428374886513
final_logit	meth	26	cg15012484	0.04257134720683098
final_logit	meth	27	cg03672342	0.04075518622994423
final_logit	meth	28	cg00517532	0.040570348501205444
final_logit	meth	29	cg05226008	0.040166884660720825
final_logit	meth	30	cg06665913	0.03986426442861557
final_logit	meth	31	cg06875707	0.039816152304410934
final_logit	meth	32	cg06741896	0.03963622823357582
final_logit	meth	33	cg01321962	0.0395682156085968
final_logit	meth	34	cg16236270	0.03901209309697151
final_logit	meth	35	cg03048314	0.03832544386386871
final_logit	meth	36	cg03287339	0.037558965384960175
final_logit	meth	37	cg26203572	0.036638110876083374
final_logit	meth	38	cg24039697	0.034917403012514114
final_logit	meth	39	cg08810842	0.03397759050130844
final_logit	meth	40	cg06197966	0.033158596605062485
final_logit	meth	41	cg19516279	0.03259940817952156
final_logit	meth	42	cg15902390	0.03255077078938484
final_logit	meth	43	cg14982203	0.032475750893354416
final_logit	meth	44	cg18456459	0.03239363431930542
final_logit	meth	45	cg23824801	0.03217597305774689
final_logit	meth	46	cg22732636	0.03166166692972183
final_logit	meth	47	cg26605683	0.03069755621254444
final_logit	meth	48	cg25339073	0.03011893294751644
final_logit	meth	49	cg05923595	0.030114000663161278
final_logit	meth	50	cg24800655	0.0290547925978899
lumA_pole	rna	1	FOXC1	0.04468076676130295
lumA_pole	rna	2	BCL2	0.032330237329006195
lumA_pole	rna	3	PDLIM3	0.03191192448139191
lumA_pole	rna	4	TUBB2B	0.03027404472231865
lumA_pole	rna	5	EGR3	0.026323383674025536
lumA_pole	rna	6	KRT15	0.02618994563817978
lumA_pole	rna	7	S100A1	0.025464968755841255
lumA_pole	rna	8	AHNAK	0.024731596931815147
lumA_pole	rna	9	RAB17	0.02448420226573944
lumA_pole	rna	10	FHL2	0.023164480924606323
lumA_pole	rna	11	ZBTB16	0.02291695773601532
lumA_pole	rna	12	FOS	0.022634049877524376
lumA_pole	rna	13	KCNK5	0.022446919232606888
lumA_pole	rna	14	KCNK15	0.020148422569036484
lumA_pole	rna	15	DLC1	0.019806144759058952
lumA_pole	rna	16	THSD4	0.01937115751206875
lumA_pole	rna	17	DUSP4	0.019268712028861046
lumA_pole	rna	18	CYP26B1	0.018163422122597694
lumA_pole	rna	19	TMPRSS3	0.017532220110297203
lumA_pole	rna	20	RBBP8	0.01732267439365387
lumA_pole	rna	21	CD44	0.017082247883081436
lumA_pole	rna	22	SGK1	0.01685711368918419
lumA_pole	rna	23	MSMB	0.016520779579877853
lumA_pole	rna	24	AKAP1	0.016455361619591713
lumA_pole	rna	25	STC2	0.016363495960831642
lumA_pole	rna	26	SLC26A2	0.01561427116394043
lumA_pole	rna	27	TSPAN1	0.015218766406178474
lumA_pole	rna	28	SLC7A5	0.014833512715995312
lumA_pole	rna	29	FARP1	0.014821261167526245
lumA_pole	rna	30	KLF4	0.014425434172153473
lumA_pole	rna	31	P2RY2	0.014018849469721317
lumA_pole	rna	32	RAB31	0.013992667198181152
lumA_pole	rna	33	BAG1	0.01380198448896408
lumA_pole	rna	34	TIAM1	0.013536312617361546
lumA_pole	rna	35	PODXL	0.013503717258572578
lumA_pole	rna	36	WFDC2	0.013404559344053268
lumA_pole	rna	37	NRIP1	0.013247273862361908
lumA_pole	rna	38	MED13L	0.013043622486293316
lumA_pole	rna	39	ACOX2	0.012975908815860748
lumA_pole	rna	40	SLC1A1	0.0129567701369524
lumA_pole	rna	41	NBL1	0.012154891155660152
lumA_pole	rna	42	CDC14B	0.012123688124120235
lumA_pole	rna	43	BLVRB	0.012082947418093681
lumA_pole	rna	44	BHLHE40	0.012031305581331253
lumA_pole	rna	45	SLC1A4	0.0117189334705472
lumA_pole	rna	46	SLC22A5	0.011600879952311516
lumA_pole	rna	47	ELF1	0.011441290378570557
lumA_pole	rna	48	AREG	0.011338721960783005
lumA_pole	rna	49	RASGRP1	0.011314788833260536
lumA_pole	rna	50	HSPB8	0.011149255558848381
lumA_pole	meth	1	cg14042099	0.025226732715964317
lumA_pole	meth	2	cg20087413	0.01809881068766117
lumA_pole	meth	3	cg10342963	0.01770223304629326
lumA_pole	meth	4	cg15543523	0.016420114785432816
lumA_pole	meth	5	cg03345116	0.01471344381570816
lumA_pole	meth	6	cg10805850	0.014619751833379269
lumA_pole	meth	7	cg10566121	0.014466534368693829
lumA_pole	meth	8	cg01738022	0.013907153159379959
lumA_pole	meth	9	cg26089753	0.013826776295900345
lumA_pole	meth	10	cg17538572	0.013314122334122658
lumA_pole	meth	11	cg24724428	0.012637360952794552
lumA_pole	meth	12	cg25744613	0.012535384856164455
lumA_pole	meth	13	cg24676071	0.01230163685977459
lumA_pole	meth	14	cg00803088	0.011998748406767845
lumA_pole	meth	15	cg10716835	0.011592766270041466
lumA_pole	meth	16	cg01207684	0.011102457530796528
lumA_pole	meth	17	cg13456086	0.010982822626829147
lumA_pole	meth	18	cg00799539	0.010878746397793293
lumA_pole	meth	19	cg00517532	0.010489379055798054
lumA_pole	meth	20	cg05116002	0.010257510468363762
lumA_pole	meth	21	cg01984743	0.010224412195384502
lumA_pole	meth	22	cg25339073	0.010105280205607414
lumA_pole	meth	23	cg13342435	0.00956031121313572
lumA_pole	meth	24	cg16650717	0.009436850436031818
lumA_pole	meth	25	cg18456459	0.009429003112018108
lumA_pole	meth	26	cg27449507	0.009243779815733433
lumA_pole	meth	27	cg00773370	0.009098387323319912
lumA_pole	meth	28	cg26605683	0.008592896163463593
lumA_pole	meth	29	cg03672342	0.008285804651677608
lumA_pole	meth	30	cg06197966	0.008233025670051575
lumA_pole	meth	31	cg24039697	0.008169412612915039
lumA_pole	meth	32	cg00651400	0.007958448491990566
lumA_pole	meth	33	cg01321962	0.00781969167292118
lumA_pole	meth	34	cg13570656	0.0072497171349823475
lumA_pole	meth	35	cg06741896	0.0070508490316569805
lumA_pole	meth	36	cg15732851	0.00701411347836256
lumA_pole	meth	37	cg05226008	0.006487492471933365
lumA_pole	meth	38	cg26325335	0.006459770258516073
lumA_pole	meth	39	cg22932313	0.0064237648621201515
lumA_pole	meth	40	cg14058239	0.006128994282335043
lumA_pole	meth	41	cg15012484	0.00604622857645154
lumA_pole	meth	42	cg17706972	0.005950666032731533
lumA_pole	meth	43	cg22731981	0.005625355988740921
lumA_pole	meth	44	cg07189962	0.0055718449875712395
lumA_pole	meth	45	cg06875707	0.005283185746520758
lumA_pole	meth	46	cg06780216	0.005080444272607565
lumA_pole	meth	47	cg22549041	0.004993733949959278
lumA_pole	meth	48	cg22732636	0.004984813276678324
lumA_pole	meth	49	cg09662034	0.004817033652216196
lumA_pole	meth	50	cg08810842	0.004764066077768803
lumB_pole	rna	1	EFNA5	0.014285542070865631
lumB_pole	rna	2	RANBP1	0.010411304421722889
lumB_pole	rna	3	NBN	0.010034189559519291
lumB_pole	rna	4	ZW10	0.009424695745110512
lumB_pole	rna	5	POLA2	0.008693593554198742
lumB_pole	rna	6	DSCC1	0.008426021784543991
lumB_pole	rna	7	CKS1B	0.008394824340939522
lumB_pole	rna	8	SMC6	0.008272767998278141
lumB_pole	rna	9	ATAD2	0.008106728084385395
lumB_pole	rna	10	IFRD1	0.00801224634051323
lumB_pole	rna	11	MRPL9	0.007686601486057043
lumB_pole	rna	12	HNRNPA2B1	0.007627556566148996
lumB_pole	rna	13	SSRP1	0.0076263220980763435
lumB_pole	rna	14	RPL34	0.007616332732141018
lumB_pole	rna	15	NDC80	0.007312499452382326
lumB_pole	rna	16	LBR	0.007294653449207544
lumB_pole	rna	17	SMAD3	0.007185698486864567
lumB_pole	rna	18	MEIS2	0.006920449901372194
lumB_pole	rna	19	DBF4	0.006793496198952198
lumB_pole	rna	20	SERBP1	0.006760625634342432
lumB_pole	rna	21	CDC7	0.006740854121744633
lumB_pole	rna	22	HIRA	0.00669705169275403
lumB_pole	rna	23	TGFB1	0.006694559473544359
lumB_pole	rna	24	XPOT	0.006554164458066225
lumB_pole	rna	25	HDGF	0.0063499268144369125
lumB_pole	rna	26	TLE3	0.00631379522383213
lumB_pole	rna	27	DMD	0.006304290145635605
lumB_pole	rna	28	EED	0.006222248077392578
lumB_pole	rna	29	RPL6	0.006155631970614195
lumB_pole	rna	30	COPS5	0.0060980236157774925
lumB_pole	rna	31	ODC1	0.0060945190489292145
lumB_pole	rna	32	PAN2	0.006092214956879616
lumB_pole	rna	33	CASP8AP2	0.006047490984201431
lumB_pole	rna	34	RPS10	0.006014122627675533
lumB_pole	rna	35	TCF19	0.005988516844809055
lumB_pole	rna	36	SMC4	0.005908595863729715
lumB_pole	rna	37	PLK1	0.005883595906198025
lumB_pole	rna	38	CKS2	0.005881876684725285
lumB_pole	rna	39	CDK2	0.0058711194433271885
lumB_pole	rna	40	TACC3	0.005866683088243008
lumB_pole	rna	41	U2AF1	0.005752088967710733
lumB_pole	rna	42	CHEK2	0.005738350097090006
lumB_pole	rna	43	PTTG3P	0.005707297474145889
lumB_pole	rna	44	SNRPD2	0.005688982084393501
lumB_pole	rna	45	PRDX3	0.005677723325788975
lumB_pole	rna	46	PGK1	0.005638742819428444
lumB_pole	rna	47	RPL14	0.00560798030346632
lumB_pole	rna	48	SPAG5	0.005603090859949589
lumB_pole	rna	49	MRPL23	0.005578220821917057
lumB_pole	rna	50	RPA3	0.005575021728873253
lumB_pole	meth	1	cg14660676	0.016469955444335938
lumB_pole	meth	2	cg16236270	0.016278410330414772
lumB_pole	meth	3	cg01252526	0.01594279147684574
lumB_pole	meth	4	cg14982203	0.015659455209970474
lumB_pole	meth	5	cg03287339	0.01445236336439848
lumB_pole	meth	6	cg26203572	0.012806368991732597
lumB_pole	meth	7	cg05923595	0.011631278321146965
lumB_pole	meth	8	cg24800655	0.010864580050110817
lumB_pole	meth	9	cg25134328	0.010215387679636478
lumB_pole	meth	10	cg09970590	0.00998196192085743
lumB_pole	meth	11	cg05703053	0.009661482647061348
lumB_pole	meth	12	cg12961607	0.009293366223573685
lumB_pole	meth	13	cg02852791	0.009058128111064434
lumB_pole	meth	14	cg23824801	0.00896330364048481
lumB_pole	meth	15	cg13800209	0.008732873015105724
lumB_pole	meth	16	cg20687242	0.008684168569743633
lumB_pole	meth	17	cg16898193	0.00846200529485941
lumB_pole	meth	18	cg13224075	0.008009634912014008
lumB_pole	meth	19	cg08169949	0.007989239878952503
lumB_pole	meth	20	cg19757631	0.007607950828969479
lumB_pole	meth	21	cg15902390	0.007350566331297159
lumB_pole	meth	22	cg04726821	0.0071945879608392715
lumB_pole	meth	23	cg17642369	0.0070558288134634495
lumB_pole	meth	24	cg06719445	0.007054795045405626
lumB_pole	meth	25	cg08479476	0.006619182415306568
lumB_pole	meth	26	cg22730327	0.0065961359068751335
lumB_pole	meth	27	cg05617413	0.006212684325873852
lumB_pole	meth	28	cg19084479	0.00609727343544364
lumB_pole	meth	29	cg16927242	0.005964014679193497
lumB_pole	meth	30	cg24607398	0.00589015381410718
lumB_pole	meth	31	cg19516279	0.005808620247989893
lumB_pole	meth	32	cg15742848	0.005788362119346857
lumB_pole	meth	33	cg07809589	0.005711963400244713
lumB_pole	meth	34	cg23279522	0.005628516431897879
lumB_pole	meth	35	cg07688604	0.0054841432720422745
lumB_pole	meth	36	cg21478921	0.005043827462941408
lumB_pole	meth	37	cg13181164	0.004970988724380732
lumB_pole	meth	38	cg01856529	0.004941544495522976
lumB_pole	meth	39	cg10304922	0.004908356349915266
lumB_pole	meth	40	cg10752421	0.004807354416698217
lumB_pole	meth	41	cg26708220	0.004759987350553274
lumB_pole	meth	42	cg00544436	0.0046622781082987785
lumB_pole	meth	43	cg06539449	0.004659492988139391
lumB_pole	meth	44	cg14515791	0.00448868703097105
lumB_pole	meth	45	cg18696576	0.004392475821077824
lumB_pole	meth	46	cg22109530	0.00435962900519371
lumB_pole	meth	47	cg25694349	0.004291345831006765
lumB_pole	meth	48	cg27408285	0.004228523932397366
lumB_pole	meth	49	cg06472166	0.004066206980496645
lumB_pole	meth	50	cg21116267	0.00406196853145957
