target	modality	rank	feature	mean_abs_attr
final_logit	rna	1	TUBB2B	0.17719145119190216
final_logit	rna	2	FOXC1	0.171168714761734
final_logit	rna	3	PDLIM3	0.1581268161535263
final_logit	rna	4	BCL2	0.15478113293647766
final_logit	rna	5	KRT15	0.1337561458349228
final_logit	rna	6	EGR3	0.1323384791612625
final_logit	rna	7	RAB17	0.1181405559182167
final_logit	rna	8	DUSP4	0.11649373918771744
final_logit	rna	9	KCNK15	0.11294573545455933
final_logit	rna	10	ZBTB16	0.10697775334119797
final_logit	rna	11	AHNAK	0.1010684221982956
final_logit	rna	12	DLC1	0.10007540881633759
final_logit	rna	13	FOS	0.09366943687200546
final_logit	rna	14	CD44	0.09297344833612442
final_logit	rna	15	RBBP8	0.08941830694675446
final_logit	rna	16	WFDC2	0.08912796527147293
final_logit	rna	17	FHL2	0.08640283346176147
final_logit	rna	18	CDC14B	0.08631440252065659
final_logit	rna	19	TMPRSS3	0.08266839385032654
final_logit	rna	20	FARP1	0.08255543559789658
final_logit	rna	21	SLC26A2	0.08235250413417816
final_logit	rna	22	THSD4	0.08091723918914795
final_logit	rna	23	S100A1	0.08007311820983887
final_logit	rna	24	SGK1	0.07969430834054947
final_logit	rna	25	SLC7A5	0.07968045026063919
final_logit	rna	26	BHLHE40	0.07720285654067993
final_logit	rna	27	STC2	0.07691488415002823
final_logit	rna	28	TSPAN1	0.07615167647600174
final_logit	rna	29	MSMB	0.07540686428546906
final_logit	rna	30	PODXL	0.07478738576173782
final_logit	rna	31	KCNK5	0.07457726448774338
final_logit	rna	32	RAB31	0.07266481220722198
final_logit	rna	33	P2RY2	0.07234809547662735
final_logit	rna	34	SLC1A4	0.07087723165750504
final_logit	rna	35	AKAP1	0.07076198607683182
final_logit	rna	36	BAG1	0.07031115889549255
final_logit	rna	37	BCAS3	0.06952354311943054
final_logit	rna	38	HSPB8	0.06889568269252777
final_logit	rna	39	MYC	0.06782105565071106
final_logit	rna	40	KLF4	0.0634380355477333
final_logit	rna	41	SLC22A5	0.06244871765375137
final_logit	rna	42	CYP26B1	0.062400318682193756
final_logit	rna	43	BLVRB	0.061606381088495255
final_logit	rna	44	NBL1	0.06049420312047005
final_logit	rna	45	RASGRP1	0.060167860239744186
final_logit	rna	46	ACOX2	0.06013236194849014
final_logit	rna	47	DCXR	0.059362202882766724
final_logit	rna	48	ADCY1	0.05908067896962166
final_logit	rna	49	TIPARP	0.0590762197971344
final_logit	rna	50	ALDH3A2	0.05906137079000473
final_logit	meth	1	cg03345116	0.14507874846458435
final_logit	meth	2	cg17538572	0.14218394458293915
final_logit	meth	3	cg14042099	0.11494150757789612
final_logit	meth	4	cg20087413	0.10933441668748856
final_logit	meth	5	cg06539449	0.0960816890001297
final_logit	meth	6	cg14660676	0.09465961158275604
final_logit	meth	7	cg24676071	0.09142938256263733
final_logit	meth	8	cg00773370	0.09060566872358322
final_logit	meth	9	cg01207684	0.09053731709718704
final_logit	meth	10	cg25744613	0.08813822269439697
final_logit	meth	11	cg00651400	0.08624622970819473
final_logit	meth	12	cg15543523	0.07843154668807983
final_logit	meth	13	cg26089753	0.07750461995601654
final_logit	meth	14	cg21478921	0.06836093962192535
final_logit	meth	15	cg06223834	0.06689669191837311
final_logit	meth	16	cg13570656	0.06614210456609726
final_logit	meth	17	cg19516279	0.06464104354381561
final_logit	meth	18	cg10342963	0.06455551832914352
final_logit	meth	19	cg01321962	0.06433582305908203
final_logit	meth	20	cg16236270	0.06241210922598839
final_logit	meth	21	cg13224075	0.061324529349803925
final_logit	meth	22	cg23057597	0.058153264224529266
final_logit	meth	23	cg13800209	0.057655420154333115
final_logit	meth	24	cg23824801	0.05661278963088989
final_logit	meth	25	cg04284140	0.055478744208812714
final_logit	meth	26	cg05923595	0.05520215630531311
final_logit	meth	27	cg13342435	0.054835859686136246
final_logit	meth	28	cg15012484	0.054229285567998886
final_logit	meth	29	cg00799539	0.052936967462301254
final_logit	meth	30	cg17642369	0.052720870822668076
final_logit	meth	31	cg22932313	0.05262356251478195
final_logit	meth	32	cg26605683	0.05115417763590813
final_logit	meth	33	cg22732636	0.050761111080646515
final_logit	meth	34	cg09970590	0.049646202474832535
final_logit	meth	35	cg00517532	0.04924694448709488
final_logit	meth	36	cg03287339	0.04907043278217316
final_logit	meth	37	cg05703053	0.048840492963790894
final_logit	meth	38	cg18456459	0.04637394845485687
final_logit	meth	39	cg15902390	0.04596828669309616
final_logit	meth	40	cg05226008	0.0450374037027359
final_logit	meth	41	cg06665913	0.044964782893657684
final_logit	meth	42	cg01984743	0.04442444443702698
final_logit	meth	43	cg27449507	0.043350230902433395
final_logit	meth	44	cg24800655	0.042549677193164825
final_logit	meth	45	cg15732851	0.04189692810177803
final_logit	meth	46	cg00803088	0.04130933806300163
final_logit	meth	47	cg09646983	0.039460282772779465
final_logit	meth	48	cg22731981	0.03933181241154671
final_logit	meth	49	cg09662034	0.03921421989798546
final_logit	meth	50	cg24724428	0.03894353285431862
lumA_pole	rna	1	FOXC1	0.03805415704846382
lumA_pole	rna	2	TUBB2B	0.03559362143278122
lumA_pole	rna	3	BCL2	0.03354654088616371
lumA_pole	rna	4	PDLIM3	0.03312019258737564
lumA_pole	rna	5	EGR3	0.030715899541974068
lumA_pole	rna	6	ZBTB16	0.030508341267704964
lumA_pole	rna	7	KRT15	0.02882925420999527
lumA_pole	rna	8	RAB17	0.025784365832805634
lumA_pole	rna	9	DLC1	0.025156661868095398
lumA_pole	rna	10	AHNAK	0.024477964267134666
lumA_pole	rna	11	DUSP4	0.024214953184127808
lumA_pole	rna	12	KCNK15	0.023511210456490517
lumA_pole	rna	13	FOS	0.022055134177207947
lumA_pole	rna	14	TMPRSS3	0.020600726827979088
lumA_pole	rna	15	CD44	0.02032257802784443
lumA_pole	rna	16	FARP1	0.0193509291857481
lumA_pole	rna	17	STC2	0.0192511398345232
lumA_pole	rna	18	FHL2	0.019001370295882225
lumA_pole	rna	19	S100A1	0.018971417099237442
lumA_pole	rna	20	WFDC2	0.018023759126663208
lumA_pole	rna	21	RBBP8	0.017889851704239845
lumA_pole	rna	22	THSD4	0.017664417624473572
lumA_pole	rna	23	TSPAN1	0.01755070872604847
lumA_pole	rna	24	PODXL	0.017265746369957924
lumA_pole	rna	25	KLF4	0.01723681576550007
lumA_pole	rna	26	SLC7A5	0.017091328278183937
lumA_pole	rna	27	KCNK5	0.016734592616558075
lumA_pole	rna	28	SGK1	0.01670697331428528
lumA_pole	rna	29	MSMB	0.016544237732887268
lumA_pole	rna	30	CDC14B	0.01613696664571762
lumA_pole	rna	31	SLC26A2	0.015903595834970474
lumA_pole	rna	32	BAG1	0.01569647528231144
lumA_pole	rna	33	CYP26B1	0.015553084202110767
lumA_pole	rna	34	BCAS3	0.015269781462848186
lumA_pole	rna	35	NBL1	0.015191408805549145
lumA_pole	rna	36	AKAP1	0.015170522034168243
lumA_pole	rna	37	P2RY2	0.015127802267670631
lumA_pole	rna	38	BHLHE40	0.014193863607943058
lumA_pole	rna	39	BLVRB	0.013905974105000496
lumA_pole	rna	40	RASGRP1	0.013870223425328732
lumA_pole	rna	41	SLC22A5	0.013711591251194477
lumA_pole	rna	42	TIPARP	0.013664052821695805
lumA_pole	rna	43	SLC1A4	0.013355263508856297
lumA_pole	rna	44	HSPB8	0.013132627122104168
lumA_pole	rna	45	BATF	0.0130604337900877
lumA_pole	rna	46	NRIP1	0.012791909277439117
lumA_pole	rna	47	CLU	0.012736840173602104
lumA_pole	rna	48	DCXR	0.012616093270480633
lumA_pole	rna	49	ACOX2	0.012527148239314556
lumA_pole	rna	50	CALB2	0.012276059947907925
lumA_pole	meth	1	cg17538572	0.040833666920661926
lumA_pole	meth	2	cg20087413	0.04005810618400574
lumA_pole	meth	3	cg03345116	0.03333171084523201
lumA_pole	meth	4	cg14042099	0.02829543687403202
lumA_pole	meth	5	cg24676071	0.026291120797395706
lumA_pole	meth	6	cg15543523	0.023836318403482437
lumA_pole	meth	7	cg26089753	0.02286544442176819
lumA_pole	meth	8	cg25339073	0.0219833105802536
lumA_pole	meth	9	cg25744613	0.021649479866027832
lumA_pole	meth	10	cg01984743	0.021184012293815613
lumA_pole	meth	11	cg13342435	0.019751550629734993
lumA_pole	meth	12	cg10342963	0.01899462193250656
lumA_pole	meth	13	cg01207684	0.017552191391587257
lumA_pole	meth	14	cg10716835	0.015977444127202034
lumA_pole	meth	15	cg00651400	0.015119814313948154
lumA_pole	meth	16	cg13456086	0.01491266954690218
lumA_pole	meth	17	cg18456459	0.013737580738961697
lumA_pole	meth	18	cg06875707	0.013464665971696377
lumA_pole	meth	19	cg00799539	0.013100164011120796
lumA_pole	meth	20	cg00803088	0.013016433455049992
lumA_pole	meth	21	cg00517532	0.0124902268871665
lumA_pole	meth	22	cg26605683	0.012142898514866829
lumA_pole	meth	23	cg06223834	0.012141674757003784
lumA_pole	meth	24	cg23057597	0.011807885020971298
lumA_pole	meth	25	cg13570656	0.011759649030864239
lumA_pole	meth	26	cg01738022	0.01104776468127966
lumA_pole	meth	27	cg06539449	0.010735307820141315
lumA_pole	meth	28	cg05116002	0.010687156580388546
lumA_pole	meth	29	cg26325335	0.010618789121508598
lumA_pole	meth	30	cg00773370	0.010420406237244606
lumA_pole	meth	31	cg22120095	0.010080795735120773
lumA_pole	meth	32	cg09646983	0.009735185652971268
lumA_pole	meth	33	cg22932313	0.009426061995327473
lumA_pole	meth	34	cg24724428	0.009284107014536858
lumA_pole	meth	35	cg05226008	0.009038923308253288
lumA_pole	meth	36	cg06665913	0.009033223614096642
lumA_pole	meth	37	cg07189962	0.008809063583612442
lumA_pole	meth	38	cg10805850	0.008219089359045029
lumA_pole	meth	39	cg06197966	0.007478940300643444
lumA_pole	meth	40	cg13948082	0.0064971065148711205
lumA_pole	meth	41	cg15012484	0.006332578137516975
lumA_pole	meth	42	cg16650717	0.0062479483895003796
lumA_pole	meth	43	cg01473816	0.0062204874120652676
lumA_pole	meth	44	cg01321962	0.0061913831159472466
lumA_pole	meth	45	cg24039697	0.0059944274835288525
lumA_pole	meth	46	cg22549041	0.005844523664563894
lumA_pole	meth	47	cg06780216	0.005822300910949707
lumA_pole	meth	48	cg22731981	0.005472018849104643
lumA_pole	meth	49	cg10566121	0.005372380372136831
lumA_pole	meth	50	cg12044685	0.005266961175948381
lumB_pole	rna	1	POLA2	0.01146656647324562
lumB_pole	rna	2	EFNA5	0.010889430530369282
lumB_pole	rna	3	CKS1B	0.010585839860141277
lumB_pole	rna	4	RANBP1	0.010137740522623062
lumB_pole	rna	5	ZW10	0.009343852289021015
lumB_pole	rna	6	DBF4	0.009315627627074718
lumB_pole	rna	7	NBN	0.009287846274673939
lumB_pole	rna	8	NDC80	0.00899729784578085
lumB_pole	rna	9	IFRD1	0.008683385327458382
lumB_pole	rna	10	DSCC1	0.00843491405248642
lumB_pole	rna	11	RPL34	0.008200825192034245
lumB_pole	rna	12	CDC7	0.008064447902143002
lumB_pole	rna	13	ATAD2	0.007950781844556332
lumB_pole	rna	14	TGFB1	0.007916607894003391
lumB_pole	rna	15	HNRNPA2B1	0.007911982014775276
lumB_pole	rna	16	SMC6	0.007749642711132765
lumB_pole	rna	17	MEIS2	0.00765925133600831
lumB_pole	rna	18	TCF19	0.007641850505024195
lumB_pole	rna	19	RPL6	0.007639628369361162
lumB_pole	rna	20	MRPL9	0.0074368626810610294
lumB_pole	rna	21	SSRP1	0.007349422667175531
lumB_pole	rna	22	LBR	0.0072739920578897
lumB_pole	rna	23	XPOT	0.007146303541958332
lumB_pole	rna	24	RPS6KA5	0.006924441549926996
lumB_pole	rna	25	BUB1B	0.00681022135540843
lumB_pole	rna	26	SPAG5	0.006710940971970558
lumB_pole	rna	27	SMAD3	0.006707875058054924
lumB_pole	rna	28	PLK1	0.006707340478897095
lumB_pole	rna	29	DMD	0.00655567878857255
lumB_pole	rna	30	CBX3	0.0065196603536605835
lumB_pole	rna	31	DHX15	0.006497607566416264
lumB_pole	rna	32	CDK2	0.006371533498167992
lumB_pole	rna	33	DCTPP1	0.006351293530315161
lumB_pole	rna	34	POLE	0.006331127602607012
lumB_pole	rna	35	EED	0.006261976435780525
lumB_pole	rna	36	HDGF	0.006241557188332081
lumB_pole	rna	37	UCK2	0.006237203720957041
lumB_pole	rna	38	RPA3	0.006192647386342287
lumB_pole	rna	39	ACP1	0.006185081787407398
lumB_pole	rna	40	SMC4	0.0061487979255616665
lumB_pole	rna	41	SHMT1	0.006070980802178383
lumB_pole	rna	42	RAD50	0.006066275294870138
lumB_pole	rna	43	TLE3	0.005950469523668289
lumB_pole	rna	44	PCNA	0.0058950213715434074
lumB_pole	rna	45	BIRC5	0.005850867833942175
lumB_pole	rna	46	RPS10	0.005836810451000929
lumB_pole	rna	47	KIF20B	0.005827159620821476
lumB_pole	rna	48	EXOSC7	0.005815013777464628
lumB_pole	rna	49	CHEK2	0.0058069489896297455
lumB_pole	rna	50	GINS1	0.0057547795586287975
lumB_pole	meth	1	cg16236270	0.03798661008477211
lumB_pole	meth	2	cg02852791	0.025844214484095573
lumB_pole	meth	3	cg21478921	0.025128843262791634
lumB_pole	meth	4	cg14660676	0.023370107635855675
lumB_pole	meth	5	cg05923595	0.023058008402585983
lumB_pole	meth	6	cg23824801	0.021182255819439888
lumB_pole	meth	7	cg12961607	0.019661739468574524
lumB_pole	meth	8	cg13800209	0.019430607557296753
lumB_pole	meth	9	cg09970590	0.018863894045352936
lumB_pole	meth	10	cg17642369	0.018339751288294792
lumB_pole	meth	11	cg03287339	0.017876194790005684
lumB_pole	meth	12	cg24607398	0.01752379536628723
lumB_pole	meth	13	cg19516279	0.017505796626210213
lumB_pole	meth	14	cg05703053	0.017470916733145714
lumB_pole	meth	15	cg15902390	0.017395222559571266
lumB_pole	meth	16	cg24800655	0.016666647046804428
lumB_pole	meth	17	cg06472166	0.016423089429736137
lumB_pole	meth	18	cg13224075	0.015624097548425198
lumB_pole	meth	19	cg06719445	0.01418465655297041
lumB_pole	meth	20	cg04726821	0.013540727086365223
lumB_pole	meth	21	cg16927242	0.013112208805978298
lumB_pole	meth	22	cg01252526	0.012296000495553017
lumB_pole	meth	23	cg19757631	0.012276101857423782
lumB_pole	meth	24	cg25288140	0.011772459372878075
